Entity,Code,Year,share_neet,Continent,HDI
Afghanistan,AFG,2014,35.06,Asia,0.497
Afghanistan,AFG,2017,42.84,Asia,0.496
Afghanistan,AFG,2020,53.76,Asia,0.501
Albania,ALB,2002,41.8,Europe,0.697
Albania,ALB,2005,35.19,Europe,0.723
Albania,ALB,2007,33.77,Europe,0.742
Albania,ALB,2008,28.17,Europe,0.749
Albania,ALB,2009,30.73,Europe,0.756
Albania,ALB,2010,29.72,Europe,0.769
Albania,ALB,2011,30.01,Europe,0.781
Albania,ALB,2012,27.65,Europe,0.79
Albania,ALB,2013,30.98,Europe,0.793
Albania,ALB,2014,31.39,Europe,0.797
Albania,ALB,2015,29.82,Europe,0.797
Albania,ALB,2016,27.39,Europe,0.797
Albania,ALB,2017,26.23,Europe,0.798
Albania,ALB,2018,26.61,Europe,0.801
Albania,ALB,2019,25.82,Europe,0.805
Algeria,DZA,2009,25.45,Africa,0.714
Algeria,DZA,2010,24.53,Africa,0.718
Algeria,DZA,2011,26,Africa,0.718
Algeria,DZA,2012,22.7,Africa,0.723
Algeria,DZA,2013,21.5,Africa,0.727
Algeria,DZA,2014,22.8,Africa,0.732
Algeria,DZA,2015,21.2,Africa,0.737
Algeria,DZA,2017,20.95,Africa,0.746
Angola,AGO,2004,30.96,Africa,0.448
Angola,AGO,2009,25.81,Africa,0.517
Angola,AGO,2011,10.01,Africa,0.545
Angola,AGO,2014,30.62,Africa,0.577
Angola,AGO,2019,23.06,Africa,0.611
Argentina,ARG,2004,20.98,South America,0.808
Argentina,ARG,2005,19.87,South America,0.812
Argentina,ARG,2006,19.51,South America,0.822
Argentina,ARG,2008,19.42,South America,0.833
Argentina,ARG,2009,20.04,South America,0.835
Argentina,ARG,2010,19.46,South America,0.844
Argentina,ARG,2011,18.4,South America,0.852
Argentina,ARG,2012,18.41,South America,0.85
Argentina,ARG,2013,19.07,South America,0.852
Argentina,ARG,2014,19.67,South America,0.855
Argentina,ARG,2017,19.25,South America,0.861
Argentina,ARG,2018,19.02,South America,0.861
Argentina,ARG,2019,19.23,South America,0.861
Argentina,ARG,2020,22.33,South America,0.851
Armenia,ARM,2009,40.52,Asia,0.741
Armenia,ARM,2011,44.6,Asia,0.752
Armenia,ARM,2012,36.77,Asia,0.761
Armenia,ARM,2013,44.37,Asia,0.766
Armenia,ARM,2014,38.03,Asia,0.772
Armenia,ARM,2015,35.56,Asia,0.777
Armenia,ARM,2016,36.58,Asia,0.783
Armenia,ARM,2017,36.59,Asia,0.785
Armenia,ARM,2018,29.52,Asia,0.789
Armenia,ARM,2019,26.04,Asia,0.796
Armenia,ARM,2020,26.08,Asia,0.761
Aruba,ABW,2010,16.56,North America,NA
Australia,AUS,2009,11.4,Oceania,0.927
Australia,AUS,2010,11.32,Oceania,0.929
Australia,AUS,2011,10.59,Oceania,0.933
Australia,AUS,2012,9.91,Oceania,0.938
Australia,AUS,2013,11.02,Oceania,0.935
Australia,AUS,2014,10.09,Oceania,0.937
Australia,AUS,2015,9.8,Oceania,0.938
Australia,AUS,2016,8.69,Oceania,0.939
Australia,AUS,2017,8.94,Oceania,0.94
Austria,AUT,2004,9.64,Europe,0.895
Austria,AUT,2005,11.84,Europe,0.898
Austria,AUT,2006,11.22,Europe,0.902
Austria,AUT,2007,10.71,Europe,0.905
Austria,AUT,2008,10.37,Europe,0.907
Austria,AUT,2009,11.73,Europe,0.907
Austria,AUT,2010,10.79,Europe,0.912
Austria,AUT,2011,10.56,Europe,0.915
Austria,AUT,2012,10.16,Europe,0.916
Austria,AUT,2013,10.34,Europe,0.915
Austria,AUT,2014,10.76,Europe,0.919
Austria,AUT,2015,11.04,Europe,0.919
Austria,AUT,2016,10.91,Europe,0.921
Austria,AUT,2017,10.45,Europe,0.922
Austria,AUT,2018,10.42,Europe,0.925
Austria,AUT,2019,11.01,Europe,0.928
Austria,AUT,2020,11.42,Europe,0.925
Azerbaijan,AZE,2009,9.4,Asia,0.74
Azerbaijan,AZE,2010,9.64,Asia,0.744
Bangladesh,BGD,2005,30.99,Asia,0.52
Bangladesh,BGD,2006,32.26,Asia,0.527
Bangladesh,BGD,2010,30.06,Asia,0.561
Bangladesh,BGD,2013,32.04,Asia,0.589
Bangladesh,BGD,2016,28.88,Asia,0.632
Bangladesh,BGD,2017,27.39,Asia,0.633
Barbados,BRB,2016,28.99,North America,0.803
Belarus,BLR,2009,12.08,Europe,0.798
Belarus,BLR,2016,0.48,Europe,0.825
Belarus,BLR,2017,0.38,Europe,0.828
Belarus,BLR,2018,0.54,Europe,0.827
Belarus,BLR,2019,9.25,Europe,0.826
Belarus,BLR,2020,9.18,Europe,0.815
Belgium,BEL,2004,8.55,Europe,0.909
Belgium,BEL,2005,13.02,Europe,0.911
Belgium,BEL,2006,11.24,Europe,0.913
Belgium,BEL,2007,11.16,Europe,0.916
Belgium,BEL,2008,10.14,Europe,0.917
Belgium,BEL,2009,11.08,Europe,0.919
Belgium,BEL,2010,10.86,Europe,0.921
Belgium,BEL,2011,11.81,Europe,0.923
Belgium,BEL,2012,12.35,Europe,0.923
Belgium,BEL,2013,12.68,Europe,0.925
Belgium,BEL,2014,12.05,Europe,0.93
Belgium,BEL,2015,12.18,Europe,0.933
Belgium,BEL,2016,9.89,Europe,0.936
Belgium,BEL,2017,9.32,Europe,0.94
Belgium,BEL,2018,9.15,Europe,0.942
Belgium,BEL,2019,9.25,Europe,0.945
Belgium,BEL,2020,9.21,Europe,0.939
Belize,BLZ,2012,11.95,North America,0.727
Belize,BLZ,2013,27.93,North America,0.724
Belize,BLZ,2014,27.79,North America,0.721
Belize,BLZ,2015,27.68,North America,0.721
Belize,BLZ,2016,27.38,North America,0.727
Belize,BLZ,2017,27.38,North America,0.722
Belize,BLZ,2019,24.88,North America,0.725
Benin,BEN,2011,17.23,Africa,0.49
Benin,BEN,2018,35.1,Africa,0.507
Bermuda,BMU,2010,6.79,North America,NA
Bhutan,BTN,2018,15.19,Asia,0.667
Bhutan,BTN,2019,10.41,Asia,0.68
Bhutan,BTN,2020,11.97,Asia,0.688
Bolivia,BOL,2000,14.37,South America,0.63
Bolivia,BOL,2001,22.93,South America,0.639
Bolivia,BOL,2002,21.38,South America,0.642
Bolivia,BOL,2004,13.08,South America,0.648
Bolivia,BOL,2005,12.08,South America,0.658
Bolivia,BOL,2006,10.79,South America,0.656
Bolivia,BOL,2007,11.02,South America,0.664
Bolivia,BOL,2008,9.69,South America,0.668
Bolivia,BOL,2009,9.18,South America,0.671
Bolivia,BOL,2011,10.85,South America,0.683
Bolivia,BOL,2012,10.41,South America,0.685
Bolivia,BOL,2013,10.45,South America,0.699
Bolivia,BOL,2014,11.16,South America,0.701
Bolivia,BOL,2015,14.56,South America,0.704
Bolivia,BOL,2016,10.79,South America,0.714
Bolivia,BOL,2017,11.58,South America,0.715
Bolivia,BOL,2018,10.83,South America,0.722
Bolivia,BOL,2019,10.24,South America,0.728
Bolivia,BOL,2020,13.7,South America,0.697
Bosnia and Herzegovina,BIH,2001,32.45,Europe,0.677
Bosnia and Herzegovina,BIH,2006,35.49,Europe,0.701
Bosnia and Herzegovina,BIH,2007,32.36,Europe,0.709
Bosnia and Herzegovina,BIH,2008,27.37,Europe,0.719
Bosnia and Herzegovina,BIH,2009,26.63,Europe,0.722
Bosnia and Herzegovina,BIH,2010,28.73,Europe,0.725
Bosnia and Herzegovina,BIH,2011,28.3,Europe,0.731
Bosnia and Herzegovina,BIH,2012,28.92,Europe,0.742
Bosnia and Herzegovina,BIH,2013,26.63,Europe,0.756
Bosnia and Herzegovina,BIH,2014,27.1,Europe,0.765
Bosnia and Herzegovina,BIH,2015,28.35,Europe,0.769
Bosnia and Herzegovina,BIH,2016,27.09,Europe,0.776
Bosnia and Herzegovina,BIH,2017,25.51,Europe,0.78
Bosnia and Herzegovina,BIH,2018,22.61,Europe,0.785
Bosnia and Herzegovina,BIH,2019,22.6,Europe,0.788
Bosnia and Herzegovina,BIH,2020,21.81,Europe,0.783
Botswana,BWA,2006,42.34,Africa,0.627
Botswana,BWA,2009,35.67,Africa,0.644
Botswana,BWA,2019,31.98,Africa,0.718
Botswana,BWA,2020,37.14,Africa,0.718
Brazil,BRA,2001,19.65,South America,0.694
Brazil,BRA,2002,19.24,South America,0.7
Brazil,BRA,2003,19.28,South America,0.705
Brazil,BRA,2004,18.99,South America,0.712
Brazil,BRA,2005,19.07,South America,0.718
Brazil,BRA,2006,19.24,South America,0.725
Brazil,BRA,2007,19.18,South America,0.732
Brazil,BRA,2008,18.32,South America,0.739
Brazil,BRA,2009,18.79,South America,0.742
Brazil,BRA,2011,19.4,South America,0.753
Brazil,BRA,2012,20.54,South America,0.758
Brazil,BRA,2013,20.9,South America,0.762
Brazil,BRA,2014,20.69,South America,0.765
Brazil,BRA,2015,22.1,South America,0.764
Brazil,BRA,2016,23.8,South America,0.765
Brazil,BRA,2017,24.87,South America,0.77
Brazil,BRA,2018,24.6,South America,0.774
Brazil,BRA,2019,23.99,South America,0.776
Brazil,BRA,2020,25.99,South America,0.77
Brunei,BRN,2014,17.11,Asia,0.841
Brunei,BRN,2017,19.97,Asia,0.837
Brunei,BRN,2018,20.72,Asia,0.837
Brunei,BRN,2019,20.09,Asia,0.835
Brunei,BRN,2020,21.43,Asia,0.836
Bulgaria,BGR,2003,28.29,Europe,0.762
Bulgaria,BGR,2004,24.37,Europe,0.769
Bulgaria,BGR,2005,25.05,Europe,0.775
Bulgaria,BGR,2006,22.24,Europe,0.779
Bulgaria,BGR,2007,19.14,Europe,0.785
Bulgaria,BGR,2008,17.4,Europe,0.791
Bulgaria,BGR,2009,19.45,Europe,0.793
Bulgaria,BGR,2010,21.03,Europe,0.799
Bulgaria,BGR,2011,21.81,Europe,0.803
Bulgaria,BGR,2012,21.53,Europe,0.807
Bulgaria,BGR,2013,21.6,Europe,0.815
Bulgaria,BGR,2014,20.24,Europe,0.819
Bulgaria,BGR,2015,19.28,Europe,0.824
Bulgaria,BGR,2016,18.2,Europe,0.827
Bulgaria,BGR,2017,15.31,Europe,0.829
Bulgaria,BGR,2018,15.04,Europe,0.832
Bulgaria,BGR,2019,13.72,Europe,0.835
Bulgaria,BGR,2020,14.44,Europe,0.826
Burkina Faso,BFA,2018,41,Africa,0.449
Burundi,BDI,2006,11.3,Africa,0.376
